What are business aims? | Long-term aspirations of an organization.
Give examples of variable costs. | Raw material costs, wages of workers directly involved in production.
How are variable costs represented on a graph? | As an upward sloping line starting at 0.
What are total costs? | The sum of variable and fixed costs.
How are total costs represented on a graph? | As an upward sloping line, parallel to variable costs, starting at the level of fixed costs.
How is total cost (TC) calculated? | TC = Total fixed costs (TFC) + Total variable costs (TVC)
How is total variable cost (TVC) calculated? | TVC = Variable cost per unit (VC) × Quantity (Q)
How can a business reduce fixed costs? | By relocating to cheaper premises, reducing salaries, spending less on promotion, seeking lower-priced utilities providers.
How can a business reduce variable costs? | By sourcing cheaper materials, buying raw materials in bulk, or outsourcing distribution and packaging.
What should businesses consider when reducing costs? | The impacts on customer service, quality, and speed of delivery.
What is profit? | Money left over after all costs have been accounted for.
What is a loss? | When costs are greater than sales revenue.
What is gross profit (GP)? | The difference between sales revenue and the costs directly related to production.
How is gross profit calculated? | Gross Profit = Revenue - Cost of sales
What is net profit (NP)? | The difference between gross profit and other operating expenses and interest.
How is net profit calculated? | Net profit = Gross profit - (Operating expenses + Interest)
What is a profit margin? | The amount by which sales revenue exceeds costs.
Why are higher profit margins preferable? | Because more revenue is being converted to profit.
What does gross profit margin show? | The proportion of revenue turned into gross profit, expressed as a percentage.
How is gross profit margin calculated? | (Gross Profit ÷ Sales revenue) × 100
What does net profit margin show? | The proportion of sales revenue turned into net profit, expressed as a percentage.
How is net profit margin calculated? | (Net Profit ÷ Sales revenue) × 100
What is the breakeven point? | The number of units that need to be sold for total costs to equal sales revenue.
How is the breakeven point calculated? | BEP = Fixed costs ÷ (Selling price - Variable cost per unit)
What is a breakeven chart? | A visual representation of the breakeven point showing fixed costs, total costs, and revenue lines.
What does the fixed costs line on a breakeven chart show? | It's horizontal and shows costs that don't change with output.
What does the total costs line on a breakeven chart show? | It starts at the fixed costs level and slopes upward as variable costs increase with output.
What does the revenue line on a breakeven chart show? | It starts at zero and slopes upward more steeply than total costs, crossing the total costs line at the breakeven point.
How can you identify profit on a breakeven chart? | The space between the revenue and total costs lines above the breakeven point.
What is the margin of safety? | The amount by which actual/budgeted sales exceed the breakeven point.
How is the margin of safety calculated? | Margin of safety = actual/budgeted sales - breakeven sales
Why do businesses prefer a large margin of safety? | If demand drops unexpectedly, the business will continue to make a profit.
How do profit and cash differ? | Profit is the difference between sales revenue and costs, while cash considers all money flowing in and out of a business.
What is trade credit? | When suppliers allow a business to receive stock now and pay later (typically 30-60 days).
Why might a profitable business fail? | If it doesn't have sufficient cash to pay suppliers, employees, and operating expenses (insolvency).
What is a cash flow forecast? | A prediction of anticipated cash inflows and outflows, typically for 3, 6, or 12 months.
What are typical cash outflows? | Payments for raw materials, staff wages/salaries, bills like electricity.
What are typical cash inflows? | Receipts from sales, money from new bank loans, money from asset sales.
How is net cash flow calculated? | Total inflows minus total outflows.
What is the opening balance in a cash flow forecast? | The previous month's closing balance carried forward.
How is the closing balance calculated? | Opening balance plus net cash flow.
What is capital expenditure? | Spending on fixed assets such as equipment, buildings, IT equipment, and vehicles.
What is operating expenditure? | Spending on raw materials or day-to-day expenses like wages or utilities.
What is an overdraft? | An arrangement with the bank for business account holders to spend more money than they have in their account, with interest charged only when overdrawn.
What are advantages of overdrafts? | Flexibility and aids cash flow.
What are disadvantages of overdrafts? | May be "called in" if the bank is concerned about repayment, and interest tends to be higher than other loans.
What is trade credit as a source of finance? | An agreement with suppliers to buy materials/stock that are paid for later (typically 30-90 days).
What are advantages of trade credit? | Usually interest-free; allows increasing stock without immediate payment.
What are disadvantages of trade credit? | Suppliers may prioritize customers with shorter repayment periods; cash must be managed carefully.
What is share capital? | Finance raised from selling shares in a limited company.
What are advantages of share capital? | Large amounts can be quickly raised; shareholders may bring expertise.
What are disadvantages of share capital? | Shareholders are entitled to profit share and may have voting rights at AGMs.
What is a bank loan? | Money borrowed from a bank and repaid with interest over a specific period.
What are advantages of bank loans? | Fixed interest rates mean equal installments, helping with business planning.
What are disadvantages of bank loans? | Interest is payable and business assets are at risk if repayments aren't made.
What is crowdfunding? | Accessing finance from many small investors on online platforms like Kickstarter.
What are advantages of crowdfunding? | Investors often attracted by incentives like product samples or early access.
What are disadvantages of crowdfunding? | Needs persuasive business plan to compete with other online projects; target amount must be reached before funds are released.
What is retained profit as a source of finance? | Profit generated in previous years that wasn't distributed to owners, reinvested in the business.
What are advantages of retained profit? | Cheap source as it doesn't involve borrowing, interest, or arrangement fees.
What are disadvantages of retained profit? | Opportunity cost - shareholders don't receive extra profit for their investment.
What is venture capital? | Investment from specialist businesses or successful entrepreneurs in higher-risk businesses.
What are advantages of venture capital? | High-risk businesses rejected by banks may access large amounts; venture capitalists often provide business advice.
What are disadvantages of venture capital? | Most venture capitalists demand a stake in the business and expect input in how it's run.
How is loan interest percentage calculated? | (Total interest paid ÷ Original loan amount) × 100
