What is biodiversity? | The variety of different species of organisms on Earth or within an ecosystem.
How do pregnancy tests use monoclonal antibodies? (Higher tier) | They detect hCG hormone in urine using antibodies attached to blue beads that bind to stationary antibodies, creating a blue line if pregnant.
How can monoclonal antibodies be used to treat cancer? (Higher tier) | Toxic drugs can be attached to antibodies to deliver them directly to cancer cells, or they can encourage white blood cells to attack cancer cells.
What is a vaccine and how does it work? | Contains dead/inactive pathogen to stimulate white blood cells to produce antibodies without causing illness, so body can respond quickly to real infection.
What is herd immunity? | When a large proportion of the population is immune, reducing the spread of the pathogen as there are fewer people to catch the disease from.
Why can't antibiotics kill viruses? | Viruses use body cells to reproduce, so drugs targeting them would also affect body tissue.
How does antibiotic resistance develop? | Mutations allow some bacteria to survive antibiotics; these resistant bacteria reproduce, creating resistant populations.
How can antibiotic resistance be prevented? | By stopping overuse of antibiotics and finishing prescribed courses to ensure all bacteria are killed.
What are aseptic techniques? (Higher tier) | Procedures carried out to prevent contamination of pure cultures when testing antibiotics and antiseptics.
How is a zone of inhibition calculated? (Higher tier) | Using πr² by measuring the diameter of the circle and dividing by two to get the radius.
Why is the destruction of rainforests concerning for medicine? | Many plants in nature may contain chemicals useful for modern medicine that haven't been discovered yet.
What are the three stages of drug testing? | 1) Preclinical trials (computer models/lab cells) 2) Animal testing 3) Human clinical trials.
What is a placebo and why is it used in drug trials? | An inactive version of the drug used to see if the effect is actually from the drug or from some other factor.
How does obesity increase the risk of cardiovascular disease? | It leads to high blood pressure, increasing chances of fatty deposit buildup in arteries.
How does alcohol affect the liver long-term? | It can cause fatty liver disease, alcoholic hepatitis (inflammation), and liver cirrhosis (scarring).
How does smoking damage arteries? | It damages the lining, encouraging fatty material buildup that can cause heart attacks or strokes.
What happens during a heart attack? | 1) Cholesterol builds up in coronary arteries 2) Blood clot forms in narrowed artery 3) Blockage prevents oxygen/nutrients reaching heart muscle 4) Heart cells die causing a heart attack.
Name three treatments for cardiovascular disease. | Statins (lower cholesterol), stents (keep arteries open), and coronary artery bypass surgery.
What's the difference between benign and malignant tumors? | Benign tumors grow slowly within a membrane and don't spread; malignant tumors grow quickly, are cancerous, and can spread to other body parts.
What is metastasis? | When cancer cells detach and travel in the bloodstream to form secondary tumors in other parts of the body.
How can stem cells be used in medicine? | To replace damaged cells (in diabetes, MS, spinal injuries), for bone marrow transplants, and to grow whole organs for transplants.
How is genetic engineering used to produce human insulin? | The insulin gene is cut out using restriction enzymes, inserted into a bacterial plasmid using ligase enzymes, and the bacteria multiply to produce insulin.
What has the Human Genome Project allowed us to understand? | The genes that cause different diseases, helping predict disease likelihood and understand drug effectiveness.
