What is abundance in ecology? | The number of organisms of a particular species in a habitat.
Can local governments pass laws about biodiversity? | Yes, governments can act to improve biodiversity within their country's borders, so laws can be passed to make biodiversity a legal requirement.
What are 'corridors' of biodiversity? | Small, local schemes that can join up to create 'corridors' of biodiversity that can act as an example of sustainable living to other areas.
What is ecotourism? | Tourism promoted to attract people to beautiful and wild landscapes (e.g., whale-watching trips and tours around biodiversity-friendly farming schemes).
Why must ecotourism be limited? | Too much ecotourism would itself have a negative impact on biodiversity.
Why might local residents object to biodiversity projects? | Biodiversity projects require land that could be used for growing food or housing people, and local residents may have their incomes reduced.
Do animals and plants respect country boundaries? | No, many move between ecosystems throughout the world (e.g., migratory birds, fish and sea mammals like whales).
What happens if a species is removed entirely from a food chain? | It can collapse the whole food chain, whether that's a producer (plant), a mid-level consumer or a top predator.
Why do governments need to cooperate for global biodiversity? | A global approach is required to benefit species other than humans since animals and plants move between countries.
Why do governments fail to cooperate on biodiversity? | Inter-country conflicts mean that such cooperation stops.
Give an example of cultural reasons affecting global biodiversity efforts | Japan and commercial whaling - whale meat is a prized delicacy in Japan. Japan fails to agree on global whaling restrictions or disguises hunting as 'scientific' or 'research' whaling.
Are global whaling restrictions legally binding? | No, they are not legally binding in any case.
Why is ocean fishing very damaging to biodiversity? | Especially techniques such as trawling and the use of gillnets damage habitats and catch non-target species.
What government controls can make commercial fishing more sustainable? | Quotas, catch inspection, reduction of bycatch, fishing in permitted waters only.
What is midwater trawling? | A fishing method that results in less bycatch and habitat damage compared to bottom-trawling.
Why is military-grade sonar and radar used in fishing? | To locate and identify potential catch with great accuracy.
Why is minimum mesh size important? | To allow juvenile fish to escape so they can grow and reproduce.
Why are gillnets outlawed? | They are non-selective and catch many non-target species, causing high bycatch.
What does bottom-trawling destroy? | Seabed habitats (e.g., coral reefs and marine crustaceans).
What is the purpose of fish farms? | Raising large numbers of fish in a small space to provide food (protein) for humans and minimize energy losses while maximising yield.
Why has overfishing occurred? | Most fish are still caught in the wild, leading to dramatic declines in many fish populations.
How do fish farms prevent interspecific predation? | Using nets and cages.
How is intraspecific predation limited in fish farms? | By grouping fish according to their age and size.
How is water quality carefully controlled in fish farms? | By monitoring pH and temperature as well as removing fish waste or dead fish.
How is diet controlled in fish farms? | By feeding high protein fish pellets regularly to ensure rapid growth.
How are diseases and pests prevented in fish farms? | Using antibiotics and pesticides or biological controls.
Why can diseases spread quickly in fish farms? | Due to the enclosed space and number of individuals in close proximity.
How can diseases from fish farms spread to native species? | Diseases can spread in the water to other species outside of the fish farm.
What issues can escaped caged fish cause? | They can cause issues with the native species nearby (i.e., those that live in the area naturally).
Can eutrophication occur near fish farms? | Yes, eutrophication can occur due to excess nutrients from fish waste and uneaten food.
